t,setpoint,xn,yn,posisi
1.989998,1.000000,0.038361,-0.000930,0.615456
1.999998,1.000000,0.038454,-0.000538,0.614917
2.009998,1.000000,0.038508,-0.000150,0.614768
2.019998,1.000000,0.038523,0.000236,0.615003
2.029998,1.000000,0.038500,0.000617,0.615620
2.039998,1.000000,0.038438,0.000994,0.616614
2.049998,1.000000,0.038339,0.001366,0.617980
2.059998,1.000000,0.038202,0.001734,0.619714
2.069998,1.000000,0.038029,0.002096,0.621810
2.079998,1.000000,0.037819,0.002453,0.624263
2.089998,1.000000,0.037574,0.002804,0.627067
2.099998,1.000000,0.037293,0.003149,0.630216
2.109998,1.000000,0.036978,0.003488,0.633704
2.119998,1.000000,0.036630,0.003819,0.637523
2.129998,1.000000,0.036248,0.004144,0.641667
2.139998,1.000000,0.035833,0.004462,0.646129
2.149998,1.000000,0.035387,0.004772,0.650902
2.159998,1.000000,0.034910,0.005075,0.655977
2.169998,1.000000,0.034402,0.005370,0.661346
2.179998,1.000000,0.033865,0.005656,0.667003
2.189998,1.000000,0.033300,0.005934,0.672937
2.199998,1.000000,0.032706,0.006204,0.679141
2.209998,1.000000,0.032086,0.006465,0.685606
2.219998,1.000000,0.031439,0.006717,0.692323
2.229998,1.000000,0.030768,0.006960,0.699283
2.239998,1.000000,0.030072,0.007194,0.706477
2.249998,1.000000,0.029352,0.007418,0.713895
2.259998,1.000000,0.028611,0.007633,0.721528
2.269998,1.000000,0.027847,0.007838,0.729366
2.279998,1.000000,0.027063,0.008034,0.737399
2.289998,1.000000,0.026260,0.008219,0.745618
2.299998,1.000000,0.025438,0.008395,0.754013
2.309998,1.000000,0.024599,0.008561,0.762574
2.319998,1.000000,0.023743,0.008716,0.771290
2.329998,1.000000,0.022871,0.008861,0.780151
2.339998,1.000000,0.021985,0.008997,0.789148
2.349998,1.000000,0.021085,0.009122,0.798270
2.359998,1.000000,0.020173,0.009236,0.807506
2.369998,1.000000,0.019249,0.009341,0.816847
2.379997,1.000000,0.018315,0.009435,0.826282
2.389997,1.000000,0.017372,0.009519,0.835801
2.399997,1.000000,0.016420,0.009592,0.845393
2.409997,1.000000,0.015461,0.009656,0.855049
2.419997,1.000000,0.014495,0.009709,0.864757
2.429997,1.000000,0.013524,0.009752,0.874509
2.439997,1.000000,0.012549,0.009785,0.884294
2.449997,1.000000,0.011571,0.009807,0.894101
2.459997,1.000000,0.010590,0.009820,0.903921
2.469997,1.000000,0.009608,0.009823,0.913744
2.479997,1.000000,0.008626,0.009816,0.923560
2.489997,1.000000,0.007644,0.009799,0.933359
2.499997,1.000000,0.006664,0.009773,0.943132
2.509997,1.000000,0.005687,0.009737,0.952870
2.519997,1.000000,0.004713,0.009692,0.962562
2.529997,1.000000,0.003744,0.009638,0.972200
2.539997,1.000000,0.002780,0.009575,0.981774
2.549997,1.000000,0.001823,0.009502,0.991277
2.559997,1.000000,0.000872,0.009421,1.000698
2.569997,1.000000,-0.000070,0.009331,1.010029
2.579997,1.000000,-0.001003,0.009233,1.019262
2.589997,1.000000,-0.001926,0.009127,1.028389
2.599997,1.000000,-0.002839,0.009012,1.037401
2.609997,1.000000,-0.003740,0.008890,1.046291
2.619997,1.000000,-0.004629,0.008760,1.055050
2.629997,1.000000,-0.005505,0.008622,1.063672
2.639997,1.000000,-0.006367,0.008477,1.072149
2.649997,1.000000,-0.007215,0.008325,1.080474
2.659997,1.000000,-0.008047,0.008166,1.088640
2.669997,1.000000,-0.008864,0.008001,1.096641
2.679997,1.000000,-0.009664,0.007829,1.104470
2.689997,1.000000,-0.010447,0.007651,1.112121
2.699997,1.000000,-0.011212,0.007467,1.119588
2.709997,1.000000,-0.011959,0.007277,1.126865
2.719997,1.000000,-0.012686,0.007082,1.133947
2.729997,1.000000,-0.013395,0.006882,1.140828
2.739997,1.000000,-0.014083,0.006676,1.147505
2.749997,1.000000,-0.014750,0.006466,1.153971
2.759997,1.000000,-0.015397,0.006252,1.160223
2.769997,1.000000,-0.016022,0.006033,1.166256
2.779997,1.000000,-0.016626,0.005811,1.172066
2.789997,1.000000,-0.017207,0.005584,1.177651
2.799997,1.000000,-0.017765,0.005355,1.183005
2.809997,1.000000,-0.018301,0.005122,1.188127
2.819997,1.000000,-0.018813,0.004886,1.193013
2.829997,1.000000,-0.019301,0.004647,1.197660
2.839997,1.000000,-0.019766,0.004407,1.202067
2.849997,1.000000,-0.020207,0.004164,1.206231
2.859997,1.000000,-0.020623,0.003919,1.210150
2.869997,1.000000,-0.021015,0.003673,1.213822
2.879997,1.000000,-0.021382,0.003425,1.217247
2.889997,1.000000,-0.021725,0.003176,1.220423
2.899997,1.000000,-0.022042,0.002927,1.223350
2.909997,1.000000,-0.022335,0.002677,1.226026
2.919997,1.000000,-0.022603,0.002426,1.228452
2.929997,1.000000,-0.022845,0.002176,1.230628
2.939997,1.000000,-0.023063,0.001925,1.232553
2.949997,1.000000,-0.023255,0.001676,1.234229
2.959997,1.000000,-0.023423,0.001426,1.235655
2.969997,1.000000,-0.023566,0.001178,1.236833
2.979997,1.000000,-0.023683,0.000931,1.237764
2.989997,1.000000,-0.023776,0.000686,1.238450
2.999997,1.000000,-0.023845,0.000442,1.238892
3.009997,1.000000,-0.023889,0.000199,1.239091
3.019997,1.000000,-0.023909,-0.000041,1.239051
3.029997,1.000000,-0.023905,-0.000278,1.238772
3.039997,1.000000,-0.023877,-0.000513,1.238259
3.049997,1.000000,-0.023826,-0.000746,1.237513
3.059997,1.000000,-0.023751,-0.000975,1.236538
3.069997,1.000000,-0.023654,-0.001202,1.235336
3.079997,1.000000,-0.023534,-0.001425,1.233911
3.089997,1.000000,-0.023391,-0.001644,1.232267
3.099997,1.000000,-0.023227,-0.001860,1.230407
3.109997,1.000000,-0.023041,-0.002072,1.228335
3.119997,1.000000,-0.022833,-0.002280,1.226055
3.129997,1.000000,-0.022605,-0.002483,1.223571
3.139997,1.000000,-0.022357,-0.002683,1.220888
3.149997,1.000000,-0.022089,-0.002877,1.218011
3.159997,1.000000,-0.021801,-0.003067,1.214944
3.169997,1.000000,-0.021494,-0.003252,1.211691
3.179997,1.000000,-0.021169,-0.003432,1.208259
3.189997,1.000000,-0.020826,-0.003607,1.204652
3.199997,1.000000,-0.020465,-0.003777,1.200875
3.209997,1.000000,-0.020087,-0.003942,1.196933
3.219997,1.000000,-0.019693,-0.004100,1.192833
3.229997,1.000000,-0.019283,-0.004254,1.188579
3.239997,1.000000,-0.018858,-0.004401,1.184178
3.249997,1.000000,-0.018418,-0.004543,1.179634
3.259997,1.000000,-0.017963,-0.004679,1.174955
